"DayOfWeek","Area ID","Reporting District","Victim Age","Victim Sex","Victim Descent","Premise Code","DR Number","MonthOccurred","HourOccurred","ReportingDelay","InjuryStatus","AtIntersection ","CollisionType"
3,1,112,43,"M","W",101,230105545,1,21,0,"0 - No Injury","No","Veh vs Fixed Object"
6,15,1545,44,"M","H",101,231505332,2,7,0,"1 - Injury","No","Veh vs Veh"
2,2,246,56,"F","H",101,230204946,1,8,0,"1 - Injury","Yes","Veh vs Veh"
4,5,506,23,"M","H",101,230505694,2,21,1,"1 - Injury","Yes","Veh vs Ped"
4,12,1239,22,"F","H",101,231206841,2,19,1,"1 - Injury","Yes","Veh vs Veh"
4,13,1385,40,"M","H",101,231305543,2,6,0,"1 - Injury","No","Veh vs Veh"
5,16,1663,26,"M","O",101,231611175,8,20,1,"1 - Injury","No","Veh vs Veh"
4,1,105,15,"M","H",101,230118036,8,17,0,"1 - Injury","Yes","Veh vs Veh"
4,1,119,37,"M","W",108,230118048,8,22,0,"0 - No Injury","No","Veh vs Parked Veh"
5,1,152,27,"M","H",101,230118088,8,12,0,"1 - Injury","No","Unknown"
7,1,185,22,"M","H",101,230118145,8,1,0,"0 - No Injury","Yes","Veh vs Parked Veh"
7,1,135,21,"M","H",101,230118161,8,6,0,"0 - No Injury","Yes","Veh vs Fixed Object"
7,1,118,30,"M","W",101,230118194,8,20,0,"1 - Injury","No","Veh vs Bike"
7,1,165,45,"M","H",101,230118205,8,11,1,"1 - Injury","No","Veh vs Veh"
1,1,101,40,"M","A",101,230118219,8,15,0,"0 - No Injury","No","Veh vs Parked Veh"
1,1,166,63,"M","W",101,230118230,8,18,0,"1 - Injury","No","Veh vs Veh"
1,3,314,62,"M","O",101,230306213,2,21,0,"1 - Injury","Yes","Veh vs Ped"
1,1,165,36,"M","J",101,230118232,8,18,0,"0 - No Injury","No","Veh vs Veh"
2,1,111,62,"M","O",101,230118281,8,14,0,"1 - Injury","Yes","Veh vs Veh"
2,1,131,55,"F","H",101,230118310,8,18,0,"1 - Injury","Yes","Veh vs Veh"
2,1,119,40,"M","H",101,230118312,8,20,1,"0 - No Injury","No","Veh vs Veh"
3,1,111,27,"M","W",101,230118331,8,12,0,"1 - Injury","No","Veh vs Ped"
3,1,153,52,"M","A",101,230118346,8,15,0,"1 - Injury","No","Veh vs Veh"
4,1,153,37,"M","B",101,230118389,8,6,0,"0 - No Injury","No","Veh vs Veh"
4,1,112,60,"M","W",101,230118391,8,8,0,"0 - No Injury","No","Veh vs Veh"
4,1,124,52,"M","B",101,230118402,8,9,0,"1 - Injury","Unknown","Veh vs Veh"
5,1,127,43,"F","W",101,230118498,8,17,0,"0 - No Injury","No","Veh vs Veh"
6,1,157,40,"M","H",101,230118506,8,1,0,"1 - Injury","No","Veh vs Ped"
1,2,236,55,"F","A",101,230215475,8,18,2,"1 - Injury","No","Veh vs Veh"
5,2,269,36,"F","B",101,230215627,8,16,0,"1 - Injury","Yes","Unknown"
5,2,269,66,"F","B",101,230215656,8,16,8,"1 - Injury","Unknown","Unknown"
5,2,271,28,"M","H",101,230215669,8,9,2,"1 - Injury","No","Veh vs Bike"
1,2,247,59,"M","B",101,230215705,8,9,0,"1 - Injury","No","Unknown"
1,2,217,57,"M","B",101,230215743,8,21,0,"1 - Injury","No","Veh vs Veh"
3,2,291,22,"M","H",101,230215791,8,0,0,"0 - No Injury","No","Veh vs Parked Veh"
5,2,265,67,"M","H",101,230216021,8,15,0,"0 - No Injury","No","Veh vs Veh"
6,2,237,50,"M","H",101,230216050,8,0,0,"0 - No Injury","No","Veh vs Parked Veh"
5,3,355,22,"M","H",101,230315183,8,12,0,"0 - No Injury","Unknown","Veh vs Parked Veh"
6,3,361,30,"M","B",101,230315199,7,21,20,"1 - Injury","Yes","Veh vs Veh"
4,3,301,31,"M","H",101,230315528,8,11,0,"1 - Injury","Unknown","Veh vs Veh"
3,4,462,36,"M","H",101,230411303,7,18,19,"0 - No Injury","No","Veh vs Veh"
2,4,414,65,"M","I",101,230411345,8,5,0,"1 - Injury","No","Veh vs Ped"
3,4,461,99,"M","H",101,230411374,8,5,0,"0 - No Injury","No","Unknown"
7,4,471,34,"F","H",101,230411382,8,23,9,"0 - No Injury","No","Unknown"
5,4,457,13,"M","H",101,230411483,8,18,0,"1 - Injury","No","Veh vs Veh"
7,4,453,22,"M","H",101,230411524,8,1,0,"0 - No Injury","Unknown","Veh vs Parked Veh"
6,4,448,22,"M","H",101,230411527,7,6,22,"0 - No Injury","No","Veh vs Parked Veh"
2,4,424,62,"M","W",406,230411598,8,23,1,"0 - No Injury","No","Veh vs Fixed Object"
6,4,423,40,"M","O",101,230411745,8,18,0,"0 - No Injury","No","Veh vs Fixed Object"
4,5,529,57,"M","H",101,230512350,8,6,7,"1 - Injury","Yes","Veh vs Veh"
3,6,679,99,"M","H",101,230613880,8,8,0,"0 - No Injury","No","Veh vs Parked Veh"
7,6,663,72,"F","B",101,230614021,8,3,0,"1 - Injury","Yes","Veh vs Ped"
5,7,722,24,"F","B",101,230713162,8,15,2,"1 - Injury","No","Veh vs Veh"
2,7,722,33,"F","O",101,230713268,8,11,0,"0 - No Injury","No","Veh vs Veh"
3,7,773,29,"M","H",101,230713330,8,16,0,"1 - Injury","No","Veh vs M/C"
6,7,749,29,"M","H",101,230713423,8,14,0,"1 - Injury","Yes","Veh vs Bike"
6,7,783,25,"F","H",101,230713443,8,9,1,"1 - Injury","No","Veh vs Veh"
7,7,701,31,"F","H",101,230713201,8,14,0,"0 - No Injury","No","Veh vs Parked Veh"
1,7,745,34,"M","W",101,230713410,7,13,26,"1 - Injury","No","Veh vs M/C"
4,6,625,58,"F","H",101,240605859,3,19,329,"1 - Injury","Yes","Veh vs Veh"
4,7,714,36,"M","W",101,230713657,8,17,0,"0 - No Injury","No","Veh vs Veh"
4,8,804,55,"M","O",101,230813367,8,15,1,"1 - Injury","No","Veh vs Fixed Object"
7,8,841,71,"F","O",101,230813434,8,20,1,"1 - Injury","No","Veh vs Ped"
6,8,849,24,"F","X",101,230813468,8,1,3,"1 - Injury","No","Veh vs Veh"
5,8,855,23,"F","B",101,230813366,8,7,0,"1 - Injury","Unknown","Veh vs Veh"
1,7,783,36,"M","H",101,230713464,8,0,0,"0 - No Injury","No","Veh vs Veh"
2,8,899,61,"M","B",101,230813481,8,7,0,"1 - Injury","No","Veh vs Fixed Object"
3,8,842,49,"F","H",101,230813554,8,14,0,"1 - Injury","Yes","Veh vs Ped"
5,9,969,28,"M","W",101,230912841,8,19,1,"0 - No Injury","No","Veh vs Veh"
6,9,955,24,"M","H",101,230913114,8,14,0,"0 - No Injury","No","Veh vs Parked Veh"
7,8,828,58,"M","W",101,230813507,6,19,66,"1 - Injury","No","Veh vs Fixed Object"
3,9,911,56,"M","B",101,230912734,8,9,0,"0 - No Injury","No","Veh vs Veh"
7,9,911,33,"M","H",101,230913148,8,16,0,"1 - Injury","Yes","Veh vs Ped"
4,9,946,78,"M","W",101,230913320,8,17,0,"0 - No Injury","Yes","Veh vs Veh"
4,9,936,33,"F","W",101,230913364,8,8,2,"0 - No Injury","Unknown","Veh vs Ped"
1,10,1021,29,"M","H",101,231012156,8,2,0,"1 - Injury","No","Veh vs Veh"
4,10,1001,53,"M","B",101,231012424,8,15,1,"1 - Injury","Yes","Veh vs Veh"
5,10,1018,31,"M","B",101,231012426,8,6,0,"1 - Injury","Yes","Veh vs Veh"
4,10,1063,73,"F","H",108,231012492,8,13,3,"1 - Injury","No","Veh vs Ped"
2,10,1039,36,"M","W",102,231012518,8,0,0,"0 - No Injury","No","Veh vs Fixed Object"
2,10,1017,40,"F","H",101,231012552,8,14,0,"0 - No Injury","No","Veh vs Parked Veh"
6,10,1067,54,"M","W",101,231012664,8,13,0,"1 - Injury","Yes","Veh vs Veh"
3,10,1011,36,"M","H",101,231012029,8,22,2,"1 - Injury","No","Unknown"
5,9,985,49,"M","H",101,230913253,7,16,26,"0 - No Injury","Unknown","Veh vs Parked Veh"
3,10,1025,22,"F","H",108,231012584,8,16,0,"0 - No Injury","No","Veh vs Fixed Object"
1,9,915,81,"M","H",101,230913166,8,16,0,"1 - Injury","Yes","Veh vs Veh"
7,10,1039,49,"F","H",101,231012671,8,3,0,"0 - No Injury","No","Veh vs Parked Veh"
7,10,1098,57,"F","W",101,231012676,8,11,0,"1 - Injury","Yes","Bike vs Veh"
2,11,1148,25,"M","O",101,231112215,8,11,0,"0 - No Injury","No","Veh vs Fixed Object"
3,11,1195,35,"M","A",108,231112269,8,22,1,"0 - No Injury","No","Veh vs Fixed Object"
5,11,1171,16,"F","B",101,231112319,8,7,0,"1 - Injury","No","Veh vs Ped"
6,11,1136,36,"M","H",101,231112355,8,13,0,"1 - Injury","Yes","Veh vs M/C"
7,11,1138,31,"F","H",101,231112416,8,19,1,"0 - No Injury","Yes","Veh vs Veh"
2,11,1173,22,"X","X",101,231112522,8,8,1,"0 - No Injury","Yes","Veh vs Parked Veh"
3,11,1142,32,"M","H",101,231112532,8,15,0,"0 - No Injury","Yes","Veh vs Veh"
4,11,1152,21,"F","W",101,231112579,8,14,0,"0 - No Injury","No","Veh vs Veh"
4,11,1151,33,"F","A",101,231112597,8,12,1,"0 - No Injury","No","Veh vs Parked Veh"
6,11,1115,25,"M","H",101,231112640,8,9,0,"1 - Injury","No","Veh vs Veh"
7,11,1151,45,"M","O",101,231112665,8,7,0,"0 - No Injury","No","Veh vs Veh"
7,12,1203,41,"M","W",101,231217914,8,1,0,"0 - No Injury","Yes","Veh vs Veh"
7,12,1257,53,"M","H",101,231217959,8,17,1,"1 - Injury","Yes","Veh vs Veh"
1,12,1213,24,"M","H",101,231217967,8,2,0,"1 - Injury","Yes","Veh vs Veh"
1,12,1243,60,"M","B",101,231217968,8,2,0,"1 - Injury","No","Veh vs Parked Veh"
4,12,1239,55,"F","H",101,231217758,8,12,0,"1 - Injury","No","Veh vs Veh"
1,13,1385,24,"M","H",101,231315511,8,1,0,"1 - Injury","No","Veh vs Parked Veh"
1,13,1333,20,"F","H",101,231315551,8,3,0,"1 - Injury","Yes","Unknown"
3,13,1342,53,"M","H",101,231315681,8,13,0,"1 - Injury","No","Veh vs Veh"
4,13,1365,32,"F","B",101,231315744,8,23,1,"1 - Injury","No","Veh vs Ped"
5,13,1352,63,"M","B",101,231315827,8,14,1,"1 - Injury","No","Veh vs Ped"
6,13,1373,43,"F","H",101,231315828,8,17,0,"1 - Injury","No","Veh vs Veh"
7,13,1333,57,"F","H",101,231315831,8,0,0,"0 - No Injury","No","Veh vs Fixed Object"
7,13,1303,50,"M","H",101,231315870,8,16,0,"1 - Injury","Yes","Veh vs Veh"
7,13,1391,52,"M","H",101,231315873,8,21,1,"1 - Injury","No","Veh vs Ped"
1,13,1345,45,"M","H",101,231315920,8,4,1,"0 - No Injury","No","Veh vs Parked Veh"
2,13,1344,31,"F","H",101,231315974,8,17,1,"0 - No Injury","No","Veh vs Veh"
3,12,1213,99,"M","O",101,231218119,8,9,0,"0 - No Injury","No","Veh vs Veh"
6,12,1249,30,"F","B",101,231218286,8,5,0,"0 - No Injury","No","Veh vs Parked Veh"
2,13,1324,61,"F","H",101,231315636,8,19,1,"1 - Injury","Yes","Veh vs Ped"
3,13,1347,36,"M","H",101,231315686,8,19,0,"0 - No Injury","No","Veh vs Veh"
3,13,1341,35,"M","H",101,231316025,8,16,0,"0 - No Injury","Yes","Unknown"
6,13,1321,21,"M","H",101,231316146,8,7,0,"1 - Injury","No","Veh vs Veh"
5,13,1362,43,"M","H",101,231316152,8,13,1,"1 - Injury","No","Veh vs Bike"
6,13,1313,35,"M","H",101,231316155,8,12,0,"0 - No Injury","Unknown","Unknown"
6,13,1373,22,"M","O",101,231316159,8,13,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
6,13,1347,23,"M","H",101,231316179,8,18,0,"0 - No Injury","Unknown","Veh vs Veh"
6,13,1303,23,"M","W",101,231316180,8,19,1,"1 - Injury","Yes","Veh vs M/C"
6,14,1445,33,"F","W",101,231415286,8,2,0,"0 - No Injury","No","Veh vs Parked Veh"
7,14,1491,57,"M","B",101,231415394,8,19,2,"0 - No Injury","No","Veh vs Veh"
5,14,1434,23,"M","H",101,231415602,8,14,0,"0 - No Injury","No","Veh vs Veh"
5,14,1466,41,"M","H",101,231415629,8,22,1,"0 - No Injury","No","Veh vs Veh"
1,14,1494,21,"M","H",101,231415737,8,20,0,"1 - Injury","Yes","Veh vs Bike"
7,14,1464,70,"M","O",101,231415680,8,11,0,"1 - Injury","Unknown","Veh vs Veh"
7,14,1441,35,"F","W",101,231415693,8,17,1,"1 - Injury","No","Veh vs Veh"
5,14,1401,34,"F","W",101,231415937,8,14,0,"0 - No Injury","Yes","Veh vs Veh"
7,14,1445,58,"M","H",101,231415672,8,1,0,"0 - No Injury","No","Veh vs Parked Veh"
2,14,1432,60,"M","W",101,231415799,7,17,15,"0 - No Injury","No","Veh vs Parked Veh"
7,15,1532,54,"F","W",101,231513428,8,19,1,"1 - Injury","No","Veh vs Veh"
4,14,1434,53,"M","W",101,231416122,8,22,20,"0 - No Injury","Unknown","Veh vs Veh"
3,14,1428,11,"F","B",101,231416126,8,7,0,"1 - Injury","No","Veh vs Ped"
3,14,1467,22,"M","H",101,231416156,8,20,1,"1 - Injury","No","Veh vs M/C"
7,15,1523,24,"M","W",101,231513419,8,0,0,"1 - Injury","No","Veh vs Veh"
3,15,1517,21,"M","H",101,231513420,8,1,4,"1 - Injury","No","Veh vs Veh"
3,15,1544,28,"M","O",101,231513444,8,17,5,"0 - No Injury","No","Veh vs Fixed Object"
2,15,1511,53,"M","H",101,231513554,8,20,8,"0 - No Injury","No","Veh vs Parked Veh"
2,15,1599,31,"F","W",101,231513603,8,18,9,"1 - Injury","No","Veh vs Veh"
4,15,1591,46,"M","H",101,231513616,8,13,0,"0 - No Injury","Unknown","Veh vs Veh"
5,15,1525,23,"M","O",101,231513663,8,19,1,"0 - No Injury","No","Veh vs Parked Veh"
1,15,1599,56,"M","O",101,231513431,8,6,0,"0 - No Injury","No","Veh vs Fixed Object"
5,14,1463,61,"F","W",108,231416120,7,7,26,"0 - No Injury","Unknown","Veh vs Parked Veh"
7,15,1527,40,"F","H",104,231513678,8,10,0,"0 - No Injury","No","Veh vs Fixed Object"
7,15,1548,22,"M","W",101,231513917,8,23,6,"0 - No Injury","No","Veh vs Parked Veh"
4,15,1547,37,"M","H",101,231513970,8,15,10,"0 - No Injury","No","Veh vs Parked Veh"
4,16,1651,26,"M","H",101,231610947,8,17,1,"0 - No Injury","No","Veh vs Veh"
5,16,1656,45,"M","H",101,231610959,8,13,0,"0 - No Injury","Yes","Veh vs Veh"
7,16,1665,30,"M","O",101,231611019,8,21,1,"0 - No Injury","No","Veh vs Veh"
6,16,1611,54,"M","H",101,231611311,8,8,0,"0 - No Injury","No","Veh vs Veh"
4,16,1667,23,"M","H",101,231611312,8,12,2,"1 - Injury","No","Veh vs Veh"
6,16,1612,25,"M","H",101,231611315,8,12,0,"0 - No Injury","No","Veh vs Veh"
7,16,1669,36,"M","O",101,231611357,8,22,1,"0 - No Injury","No","Veh vs Veh"
7,16,1684,39,"M","H",101,231611331,8,1,0,"0 - No Injury","No","Veh vs Veh"
7,16,1658,41,"M","O",101,231611018,8,23,1,"0 - No Injury","No","Veh vs Parked Veh"
5,17,1775,99,"M","O",101,231713775,8,14,0,"1 - Injury","Unknown","Veh vs Veh"
